Date,Team,Acquired,Relinquished,Notes
2004-06-21,Hornets,. 2004 first round pick (#2-Emeka Okafor),. 2004 first round pick (#4-Shaun Livingston). 2004 second round pick (#33-Lionel Chalmers). Bobcats agreed to select Predrag Drobnjak / Peja Drobnjak in expansion draft,trade with Clippers
2004-06-22,Hornets,. 2005 first round pick (#13-Sean May). $3M cash,. Bobcats agreed to select Jahidi White from Suns in expansion draft,trade with Suns
2004-06-22,Hornets,. Aleksandar Pavlovic / Sasha Pavlovic,,2004 NBA expansion draft pick (from Jazz)
2004-06-22,Hornets,. Brandon Hunter,,2004 NBA expansion draft pick (from Celtics)
2004-06-22,Hornets,. Desmond Ferguson,,2004 NBA expansion draft pick (from Blazers)
2004-06-22,Hornets,. Gerald Wallace,,2004 NBA expansion draft pick (from Kings)
2004-06-22,Hornets,. J.R. Bremer,,2004 NBA expansion draft pick (from Warriors)
2004-06-22,Hornets,. Jahidi White,,2004 NBA expansion draft pick (from Suns)
2004-06-22,Hornets,. Jamal Sampson,,2004 NBA expansion draft pick (from Lakers)
2004-06-22,Hornets,. Jason Kapono,,2004 NBA expansion draft pick (from Cavaliers)
2004-06-22,Hornets,. Jeff Trepagnier,,2004 NBA expansion draft pick (from Nuggets)
2004-06-22,Hornets,. Lonny Baxter,,2004 NBA expansion draft pick (from Wizards)
2004-06-22,Hornets,. Loren Woods,,2004 NBA expansion draft pick (from Heat)
2004-06-22,Hornets,. Marcus Fizer,,2004 NBA expansion draft pick (from Bulls)
2004-06-22,Hornets,. Maurice Carter,,2004 NBA expansion draft pick (from Hornets)
2004-06-22,Hornets,. Predrag Drobnjak / Peja Drobnjak,,2004 NBA expansion draft pick (from Clippers)
2004-06-22,Hornets,. Primoz Brezec,,2004 NBA expansion draft pick (from Pacers)
2004-06-22,Hornets,. Richie Frahm,,2004 NBA expansion draft pick (from Sonics)
2004-06-22,Hornets,. Tamar Slay,,2004 NBA expansion draft pick (from Nets)
2004-06-22,Hornets,. Theron Smith,,2004 NBA expansion draft pick (from Grizzlies)
2004-06-22,Hornets,. Zaur Pachulia / Zaza Pachulia,,2004 NBA expansion draft pick (from Magic)
2004-06-23,Hornets,. 2004 second round pick (#45-Bernard Robinson),. Zaur Pachulia / Zaza Pachulia,trade with Bucks
2004-06-23,Hornets,". first round pick (protected top 17 in 2005, top 16 in 2006, top 15 in 2007, top 14 in 2008) (2007 #22-Jared Dudley)",. Aleksandar Pavlovic / Sasha Pavlovic,trade with Cavaliers
2004-06-24,Hornets,. Emeka Okafor,,2004 NBA draft first round pick (#2 overall)
2004-06-24,Hornets,. Bernard Robinson,,2004 NBA draft second round pick (#45 overall)
2004-06-29,Hornets,. Gary Brokaw,,hired as assistant coach
2004-06-29,Hornets,. Karl Hicks,,hired to assume player personnel duties
2004-07-01,Hornets,,. Desmond Ferguson,became a free agent
2004-07-01,Hornets,,. J.R. Bremer,player became a free agent
2004-07-01,Hornets,,. Jeff Trepagnier,became a free agent
2004-07-01,Hornets,,. Lonny Baxter,became a free agent
2004-07-01,Hornets,,. Loren Woods,became a free agent
2004-07-01,Hornets,,. Marcus Fizer,became a free agent
2004-07-01,Hornets,,. Maurice Carter,became a free agent
2004-07-01,Hornets,,. Richie Frahm,became a free agent
2004-07-01,Hornets,,. Tamar Slay,player became a free agent
2004-07-14,Hornets,. Jason Hart,,"signed free agent (from Spurs) to a 3-year, $5M contract with a player opt-out after the second year"
2009-06-23,Hornets,. Raymond Felton,,"team tendered qualifying offer, making player a restricted free agent"
2009-06-25,Hornets,. Gerald Henderson Jr.,,2009 NBA draft first round pick (#12 overall)
2009-06-25,Hornets,. Derrick Brown,,2009 NBA draft second round pick (#40 overall)
2009-06-25,Hornets,. Robert Vaden,,2009 NBA draft second round pick (#54 overall)
2009-06-25,Hornets,. cash considerations,. rights to Robert Vaden,trade with Thunder
2009-07-01,Hornets,,. Juwan Howard,player became an unrestricted free agent
2009-07-01,Hornets,,. Sean Singletary,player became an unrestricted free agent
2009-07-08,Hornets,. Gerald Henderson Jr.,,"signed first round pick to a 2-year, $4.1M contract with a 2-year, $5.4M team option"
2009-07-13,Hornets,. Derrick Brown,,"signed second round pick to a 2-year, minimum contract"
2009-07-17,Hornets,,. Cartier Martin,signed with Benetton Treviso (Italy)
2009-07-28,Hornets,. Tyson Chandler,. Emeka Okafor,trade with Hornets
2009-09-11,Hornets,,. William Beck,co-owner deceased
2009-09-23,Hornets,. Raymond Felton,,"re-signed restricted free agent to a 1-year, $5.5M contract"
2009-09-24,Hornets,. Ronald Murray / Flip Murray,,"signed unrestricted free agent to a 1-year, $2M contract"
2009-09-28,Hornets,. Antonio Anderson,,signed free agent to a non-guaranteed contract
2009-09-28,Hornets,. Stephen Graham,,signed unrestricted free agent to a non-guaranteed contract
2009-10-06,Hornets,. D.J. Augustine,,team exercised contract option for 2010-11
2009-10-22,Hornets,,. Antonio Anderson,waived
2009-10-22,Hornets,,. Dontell Jefferson,waived
2009-10-29,Hornets,. Alexis Ajinca / Alex Ajinca,,team exercised contract option through 2010-11
2009-11-16,Hornets,. Stephen Jackson. Acie Law,. Raja Bell. Vladimir Radmanovic,trade with Warriors
2010-02-18,Hornets,. Theo Ratliff,". 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)",trade with Spurs
2010-02-18,Hornets,. Tyrus Thomas,". Ronald Murray / Flip Murray. Acie Law. first round pick (protected top 14 in 2012, top 12 in 2013, top 10 in 2014, top 8 in 2015, unprotected in 2016) (2014 #16-Jusuf Nurkic)",trade with Bulls
2010-02-27,Hornets,. Michael Jordan (J.),. Robert Johnson (a) / Bob Johnson,agreed on transfer of ownership of majority ownership of team
2010-03-13,Hornets,. Larry Hughes,,signed free agent for the remainder of the season
2010-03-17,Hornets,. Michael Jordan (J.),. Robert Johnson (a) / Bob Johnson,transfer of ownership of controlling interest approved by NBA Board of Governors
2010-06-25,Hornets,. Tyrus Thomas,,"team tendered 1-year qualifying offer, making player a restricted free agent"
2010-06-30,Hornets,. Tyson Chandler,,player exercised contract option through 2010-11
2010-07-01,Hornets,,. Larry Hughes,player became an unrestricted free agent
2010-07-01,Hornets,,. Raymond Felton,player became an unrestricted free agent
2010-07-01,Hornets,,. Stephen Graham,player became an unrestricted free agent
2010-07-01,Hornets,,. Theo Ratliff,player became an unrestricted free agent
2010-07-09,Hornets,. Tyrus Thomas,,"re-signed restricted free agent to a 5-year, $40M contract"
2010-07-10,Hornets,. Dominic McGuire,,signed unrestricted free agent to a 1-year contract
2010-07-13,Hornets,. Erick Dampier. Matt Carroll. Eduardo Najera. cash considerations,. Tyson Chandler. Alexis Ajinca / Alex Ajinca,trade with Mavericks
2010-07-14,Hornets,. Shaun Livingston,,"signed unrestricted free agent to a 2-year, $7M contract"
2010-08-06,Hornets,. Sherron Collins,,"signed free agent to a 2-year, non-guaranteed contract"
2010-08-10,Hornets,. Bill Duffy,,hired as CFO and administrative officer
2010-08-24,Hornets,. Kwame Brown,,signed unrestricted free agent to a 1-year minimum contract
2010-09-14,Hornets,,. Erick Dampier,waived
2010-09-23,Hornets,. Javaris Crittenton,,signed unrestrictred free agent to a non-guaranteed contract
2010-09-24,Hornets,. Chris Whitney,,hired as director of player development
2010-09-27,Hornets,. Darius Miles,,signed unrestricted free agent
2010-09-28,Hornets,. Matt Rogers,,signed free agent
2010-10-15,Hornets,,. Javaris Crittenton,waived
2010-10-21,Hornets,,. Darius Miles,waived
2010-10-21,Hornets,,. Matt Rogers,waived
2010-10-29,Hornets,. D.J. Augustine,,team exercised contract option for 2011-12
2010-10-29,Hornets,. Gerald Henderson Jr.,,team exercised contract option through 2011-12
2010-12-22,Hornets,,. Larry Brown,resigned as head coach
2010-12-22,Hornets,. Paul Silas,,hired as interim head coach
2010-12-24,Hornets,. Stephen Silas,,hired as assistant coach
2010-12-26,Hornets,. Charles Oakley,,hired as assistant coach
2010-12-26,Hornets,. Ralph Lewis,,hired as assistant coach
2011-02-15,Hornets,. Paul Silas,,"promoted to head coach, signed to a 1-year contract extension through 2011-12"
2011-02-24,Hornets,,. Derrick Brown,waived
2011-02-24,Hornets,,. Dominic McGuire,waived
2011-02-24,Hornets,,. Sherron Collins,waived
2011-02-24,Hornets,. D.J. White. Morris Peterson,. Nazr Mohammed,trade with Thunder
2011-02-24,Hornets,". Dante Cunningham. Joel Przybilla. Sean Marks. first round pick (protected top 7 in 2011, top 8 in 2012-14, else 2015 and 2016 second round picks) (2011 #19-Tobias Harris). first round pick (protected top 12 in 2013-15, unprotected in 2016) (2014 #24-Shabazz Napier). cash considerations",. Gerald Wallace,trade with Blazers
2011-02-28,Hornets,,. Morris Peterson,waived
2011-03-01,Hornets,,. Derrick Brown,waived
2011-03-03,Hornets,,. Sean Marks,waived
2011-03-03,Hornets,. Dominic McGuire,,signed free agent
2011-03-07,Hornets,. Garrett Temple,,signed free agent to a 10-day contract
2011-03-17,Hornets,. Garrett Temple,,re-signed to a second 10-day contract
2011-03-28,Hornets,. Garrett Temple,,re-signed for the remainder of the season
2011-06-14,Hornets,. Rich Cho,,hired as general manager
2011-06-14,Hornets,. Rod Higgins,,promoted to director of basketball operations
2011-06-21,Hornets,. Boris Diaw,,player exercised contract option for 2011-12
2011-06-23,Hornets,. Kemba Walker,,2011 NBA draft first round pick (#9 overall)
2011-06-23,Hornets,. Tobias Harris,,2011 NBA draft first round pick (#19 overall)
2011-06-23,Hornets,. Jeremy Tyler,,2011 NBA draft second round pick (#39 overall)
2011-06-23,Hornets,. cash considerations,. rights to Jeremy Tyler,trade with Warriors
2011-06-23,Hornets,. Corey Maggette. rights to Bismack Biyombo,. Stephen Jackson. Shaun Livingston. rights to Tobias Harris,"3-team trade with Bucks, Kings"
2011-06-26,Hornets,. Dante Cunningham,,"team tendered qualifying offer, making player a restricted free agent"
2011-06-26,Hornets,. Robert Werdann / Rob Werdann,,hired as assistant coach
2011-07-01,Hornets,,. Dominic McGuire,player became an unrestricted free agent
2011-07-01,Hornets,,. Garrett Temple,player became a free agent
2011-07-01,Hornets,,. Joel Przybilla,player became a free agent
2011-07-01,Hornets,,. Kwame Brown,player became an unrestricted free agent
2011-09-27,Hornets,,. Boris Diaw,signed with JSA Bordeaux (France)
2011-12-01,Hornets,,. Charles Oakley,fired as assistant coach
2011-12-09,Hornets,. Isma'il Muhammad,,signed free agent
2011-12-09,Hornets,. Ronald Dupree,,signed free agent
2011-12-09,Hornets,. Taylor Griffin,,signed free agent
2011-12-09,Hornets,. Will Blalock,,signed free agent
2011-12-09,Hornets,. Derrick Brown,,signed unrestricted free agent to a 1-year minimum contract
2011-12-10,Hornets,. Kemba Walker,,"signed first round pick to a 2-year, $4.9M contract with a 2-year, $6.2M team option"
2011-12-14,Hornets,. Melvin Ely,,signed unrestricted free agent to a 1-year contract
2011-12-14,Hornets,. Reggie Williams,,signed unrestricted free agent to a 1-year / 2-year (E NBA) contract
2011-12-17,Hornets,. Durrell Summers,,signed free agent
2011-12-19,Hornets,. Ben Uzoh,,signed free agent
2011-12-19,Hornets,. Bismack Biyombo,,"signed first round pick to a 2-year, $5.8M contract with a 2-year, $7.3M team option"
2011-12-19,Hornets,. Byron Mullens / B.J. Mullens,. 2013 second round pick (#32-Alex Abrines),trade with Thunder
2011-12-21,Hornets,,. Isma'il Muhammad,waived
2011-12-21,Hornets,,. Ronald Dupree,waived
2011-12-21,Hornets,,. Will Blalock,waived
2011-12-23,Hornets,,. Durrell Summers,waived
2011-12-23,Hornets,,. Melvin Ely,waived
2011-12-23,Hornets,,. Taylor Griffin,waived
2011-12-24,Hornets,,. Ben Uzoh,waived
2011-12-25,Hornets,. Cory Higgins,,claimed off waivers (from Nuggets)
2012-01-25,Hornets,. Gerald Henderson Jr.,,team exercised contract option through 2012-13
2012-03-21,Hornets,,. Boris Diaw,waived (reached contract buyout agreement)
2012-04-14,Hornets,. Jamario Moon,,signed free agent for the remainder of the season / to a multi-year contract (R)
2012-04-30,Hornets,,. Paul Silas,fired as head coach
2012-06-20,Hornets,. Mike Dunlap,,hired as head coach
2012-06-26,Hornets,". Ben Gordon. first round pick (protected top 14 in 2013, top 8 in 2014, top 1 in 2015, unprotected in 2016) (2014 #9-Noah Vonleh)",. Corey Maggette,trade with Pistons
2012-06-26,Hornets,. DeSagana Diop,,player exercised contract option through 2012-13
2012-06-28,Hornets,. Michael Kidd-Gilchrist,,2012 NBA draft first round pick (#2 overall)
2012-06-28,Hornets,. Jeffery Taylor / Jeff Taylor (b),,2012 NBA draft second round pick (#31 overall)
2012-06-29,Hornets,. D.J. Augustine,,"team tendered qualifying offer, making player a restricted free agent"
2012-06-29,Hornets,. Derrick Brown,,"team tendered qualifying offer, making player a restricted free agent"
2012-07-01,Hornets,,. Cory Higgins,player became an unrestricted free agent
2012-07-01,Hornets,,. D.J. White,player became an unrestricted free agent
2012-07-01,Hornets,,. Eduardo Najera,player became an unrestricted free agent
2012-07-02,Hornets,,. Jamario Moon,waived
2012-07-07,Hornets,. Michael Kidd-Gilchrist,,"signed first round pick to a 2-year, $9.5M contract with a 2-year, $12M team option"
2012-07-12,Hornets,,. Derek Anderson,team renounced free agent exception rights
2012-07-12,Hornets,. Ramon Sessions,,signed unrestricted free agent to a 2-year contract
2012-07-12,Hornets,,. D.J. Augustine,"team withdrew qualifying offer, making player an unrestricted free agent"
2012-07-13,Hornets,. Jeffery Taylor / Jeff Taylor (b),,signed second round pick to a multi-year contract
2012-07-14,Hornets,. Brendan Haywood,,"claimed off waivers, signed to a 3-year, $6M contract"
2012-07-18,Hornets,,. Derrick Brown,"team withdrew qualifying offer, making player an unrestricted free agent"
2012-08-27,Hornets,. Brian Winters,,hired as assistant coach
2012-08-27,Hornets,. Dan Leibovitz,,hired as assistant coach
2012-09-25,Hornets,. DaJuan Summers,,signed free agent
2012-09-25,Hornets,. Jeff Adrien,,signed free agent
2012-09-25,Hornets,. Josh Owens,,signed free agent
2012-09-25,Hornets,. Paris Horne,,signed free agent
2012-10-06,Hornets,,. Jeff Adrien,waived
2012-10-06,Hornets,,. Paris Horne,waived
2012-10-26,Hornets,. Bismack Biyombo,,team exercised contract option through 2013-14
2012-10-26,Hornets,. Kemba Walker,,team exercised contract option through 2013-14
2012-10-27,Hornets,,. DaJuan Summers,waived
2012-10-27,Hornets,,. Josh Owens,waived
2012-11-13,Hornets,. Hakim Warrick,. Matt Carroll,trade with Hornets
2012-12-09,Hornets,,. Cory Higgins,waived
2012-12-09,Hornets,. Jeff Adrien,,signed free agent to a multi-year contract (CBC CBS P)
2013-02-21,Hornets,. Josh McRoberts,. Hakim Warrick,trade with Magic
2013-03-13,Hornets,. Jannero Pargo,,signed free agent to a 10-day contract
2013-03-24,Hornets,. Jannero Pargo,,re-signed to a second 10-day contract
2013-04-03,Hornets,. Jannero Pargo,,re-signed for the remainder of the season
2013-04-23,Hornets,,. Mike Dunlap,fired as head coach
2013-05-27,Hornets,. Steve Clifford,,hired as head coach
2013-06-27,Hornets,. Cody Zeller,,2013 NBA draft first round pick (#4 overall)
2013-06-28,Hornets,,. Byron Mullens / B.J. Mullens,"team declined to tender qualifying offer, making player an unrestricted free agent"
2013-06-28,Hornets,. Ben Gordon,,player exercised contract option through 2013-14
2013-06-28,Hornets,. Gerald Henderson Jr.,,"team tendered qualifying offer, making player a restricted free agent"
2013-07-01,Hornets,,. Byron Mullens / B.J. Mullens,player became an unrestricted free agent
2013-07-01,Hornets,,. DeSagana Diop,player became an unrestricted free agent
2013-07-01,Hornets,,. Jannero Pargo,player became an unrestricted free agent
2013-07-01,Hornets,,. Josh McRoberts,player became an unrestricted free agent
2013-07-01,Hornets,,. Reggie Williams,player became an unrestricted free agent
2013-07-01,Hornets,. Bob Beyer,,hired as assistant coach
2013-07-01,Hornets,. Bob Weiss,,hired as assistant coach
2013-07-01,Hornets,. Mark Price,,hired as assistant coach
2013-07-01,Hornets,. Patrick Ewing Sr.,,hired as assistant coach
2013-07-10,Hornets,,. Tyrus Thomas,waived (using amnesty provision)
2013-07-10,Hornets,. Al Jefferson,,"signed unrestricted free agent to a 3-year, $40.5M contract"
2013-07-10,Hornets,. Cody Zeller,,"signed first round pick to a 2-year, $7.7M contract with a 2-year, $9.7M team option"
2013-07-11,Hornets,. Josh McRoberts,,"re-signed unrestricted free agent to a 2-year, $6M contract"
2013-07-26,Hornets,. Gerald Henderson Jr.,,"re-signed restricted free agent to a 3-year, $18M contract (third year is player option)"
2013-08-08,Hornets,. Jannero Pargo,,re-signed unrestricted free agent to a 1-year contract
2013-08-19,Hornets,. Anthony Tolliver,,signed unrestricted free agent to a 1-year contract
2013-09-05,Hornets,. James Southerland,,signed free agent
2013-09-30,Hornets,. Abdul Gaddy,,signed free agent
2013-09-30,Hornets,. Patrick O'Bryant,,signed unrestricted free agent
2013-09-30,Hornets,. Troy Daniels,,signed free agent
2013-10-10,Hornets,,. Abdul Gaddy,waived
2013-10-10,Hornets,,. Troy Daniels,waived
2013-10-23,Hornets,,. Patrick O'Bryant,waived
2013-10-31,Hornets,. Bismack Biyombo,,team exercised contract option through 2014-15
2013-10-31,Hornets,. Kemba Walker,,team exercised contract option through 2014-15
2013-10-31,Hornets,. Michael Kidd-Gilchrist,,team exercised contract option through 2014-15
2013-11-08,Hornets,. Patrick Ewing Sr.,,named interim head coach
2013-12-11,Hornets,,. James Southerland,waived
2013-12-11,Hornets,. Chris Douglas-Roberts,,signed free agent
2014-02-20,Hornets,. Luke Ridnour. Gary Neal,. Ramon Sessions. Jeff Adrien,trade with Bucks
2014-03-02,Hornets,,. Ben Gordon,waived
2014-03-04,Hornets,. Justin Hamilton (b),,signed free agent to a 10-day contract
2014-03-14,Hornets,,. Justin Hamilton (b),waived
2014-03-21,Hornets,. D.J. White,,signed free agent to a 10-day contract
2014-03-31,Hornets,. D.J. White,,re-signed to a second 10-day contract
2014-04-10,Hornets,. D.J. White,,re-signed for the remainder of the season
2015-06-17,Hornets,. Gerald Henderson Jr.,,player exercised contract option through 2015-16
2004-07-14,Hornets,. Melvin Ely. Eddie House,. 2005 second round pick (#32-Daniel Ewing). 2006 second round pick (#34-Paul Davis),trade with Clippers
2004-07-14,Hornets,. Tamar Slay,,re-signed free agent
2004-07-15,Hornets,,. Richie Frahm,lost free agent (to Blazers)
2004-07-26,Hornets,. Emeka Okafor,,"signed first round pick to a 3-year, $12M contract with a 1-year, $5.4M team option"
2004-07-28,Hornets,. Bernard Robinson,,signed second round pick
2004-07-29,Hornets,. Corey Benjamin,,signed free agent
2004-08-03,Hornets,. Omar Cook,,signed free agent
2004-08-07,Hornets,,. Jeff Trepagnier,signed with Pompea Naples of Italy
2004-08-16,Hornets,. 2005 second round pick (#37-Ronny Turiaf),. Predrag Drobnjak / Peja Drobnjak,trade with Hawks
2004-08-18,Hornets,,. Loren Woods,lost free agent (to Raptors)
2004-08-31,Hornets,. Brevin Knight,,signed unrestricted free agent
2004-09-16,Hornets,. Steve Smith (Delano),,signed free agent
2004-09-21,Hornets,. Melvin Ely,,team exercised contract option through 2005-06
2004-09-30,Hornets,. Primoz Brezec,,re-signed to a 3-year contract extension
2004-10-21,Hornets,,. Corey Benjamin,waived
2004-10-25,Hornets,,. Omar Cook,waived
2004-11-01,Hornets,. Keith Bogans,. Brandon Hunter,trade with Magic
2004-12-04,Hornets,,. Eddie House,waived
2004-12-06,Hornets,. Kareem Rush,. 2005 second round pick (#37-Ronny Turiaf). 2008 second round pick (ammended to 2009 second round pick on 2005-10-26) (#42-Patrick Beverley),trade with Lakers
2005-02-08,Hornets,,. Jamal Sampson,waived
2005-02-23,Hornets,. Matt Carroll,,signed free agent for the remainder of the season
2005-02-24,Hornets,. Malik Allen. cash,. Steve Smith (Delano),trade with Heat
2005-02-28,Hornets,,. Jahidi White,waived
2005-02-28,Hornets,. Cory Alexander,,signed free agent
2005-06-25,Hornets,. Emeka Okafor,,team exercised contract option through 2007-08
2005-06-27,Hornets,. Gerald Wallace,,team tendered qualifying offer making player a restricted free agent
2005-06-27,Hornets,. Jason Kapono,,team tendered qualifying offer making player a restricted free agent
2005-06-27,Hornets,. Keith Bogans,,team tendered qualifying offer making player a restricted free agent
2005-06-27,Hornets,. Matt Carroll,,"team tendered qualifying offer, making player a restricted free agent"
2005-06-28,Hornets,. Raymond Felton,,2005 NBA draft first round pick (#5 overall)
2005-06-28,Hornets,. Sean May,,2005 NBA draft first round pick (#13 overall)
2005-07-07,Hornets,. Raymond Felton,,signed first round pick to a 2-year contract with 2-year team option
2005-07-07,Hornets,. Sean May,,signed first round pick to a 2-year contract with 2-year team option
2005-08-02,Hornets,. 2006 second round pick (#50-Ryan Hollins),. Jason Hart,trade with Kings
2005-08-02,Hornets,. Jake Voskuhl,. 2007 second round pick (top 55 protected) (not exercised),trade with Suns
2005-08-09,Hornets,. Alan Anderson,,signed
2005-08-09,Hornets,. Antonio Meeking,,signed free agent
2005-08-12,Hornets,. Kareem Rush,,re-signed free agent
2005-08-20,Hornets,. Brevin Knight,,re-signed to a multi-year contract extension
2005-08-25,Hornets,. Michael Behrman,,hired as senior VP of finance
2005-08-31,Hornets,. Kevin Burleson,,signed free agent
2005-08-31,Hornets,. Matt Carroll,,re-signed restricted free agent to a 1-year contract with a 1-year team option
2005-09-02,Hornets,,. Malik Allen,lost free agent (to Bulls)
2005-09-27,Hornets,. Gerald Wallace,,"re-signed free agent to a 3-year, $16M contract (third year is player option)"
2005-09-30,Hornets,. D'or Fischer,,signed free agent
2005-09-30,Hornets,. Jason Capel,,signed free agent
2005-09-30,Hornets,. Keith Bogans,,"re-signed restricted free agent to a 1-year, $900K qualifying offer"
2005-09-30,Hornets,. Marcus Campbell,,signed free agent
2005-09-30,Hornets,. Matt Nelson,,signed free agent
2005-10-03,Hornets,,. Jason Kapono,lost restricted free agent (declined to match offer sheet from Heat)
2005-10-03,Hornets,,. Theron Smith,lost free agent (to Nuggets)
2005-10-17,Hornets,,. Marcus Campbell,waived
2005-10-17,Hornets,,. Matt Nelson,waived
2005-10-25,Hornets,,. D'or Fischer,waived
2005-10-25,Hornets,,. Jason Capel,waived
2005-10-26,Hornets,. Jumaine Jones,". second round pick (protected top 55 in 2007, unprotected in 2008) (2007 #40-Sun Yue)",trade with Lakers
2005-10-27,Hornets,,. Antonio Meeking,waived
2006-02-09,Hornets,. Lonny Baxter,. Keith Bogans,trade with Rockets
2006-03-23,Hornets,. Ed Tapscott,,promoted to CEO
2006-03-23,Hornets,. Peter Smul,,hired as COO
2006-03-31,Hornets,,. Kareem Rush,waived
2006-05-02,Hornets,. Alan Anderson,,team exercised contract option for 2006-07
2006-05-02,Hornets,. Matt Carroll,,team exercised contract option for 2006-07
2006-05-24,Hornets,,. Ed Tapscott,resigned as president & CEO
2006-05-24,Hornets,. Van Sinclair,,hired as acting president & COO
2006-06-04,Hornets,. Sean May,,team exercised contract option for 2007-08
2006-06-15,Hornets,. Michael Jordan (J.),,"purchased minority interest in team, hired as managing member of basketball operations"
2006-06-24,Hornets,. Bernard Robinson,,"team tendered qualifying offer, making player a restricted free agent"
2006-06-24,Hornets,. Melvin Ely,,"team tendered qualifying offer, making player a restricted free agent"
2006-06-24,Hornets,. Raymond Felton,,team exercised contract option for 2007-08
2006-06-28,Hornets,. Adam Morrison,,2006 NBA draft first round pick (#3 overall)
2006-06-28,Hornets,. Ryan Hollins,,2006 NBA draft second round pick (#50 overall)
2006-07-01,Hornets,,. Lonny Baxter,player became an unrestricted free agent
2006-07-06,Hornets,. Adam Morrison,,"signed first round pick to a 2-year, $7.5M contract with a 2-year, $10M team option"
2006-07-11,Hornets,. Mac Everett,,named to executive board and ownership group
2006-07-18,Hornets,. Kevin Burleson,,re-signed restricted free agent to a 1-year contract
2006-07-19,Hornets,. Othella Harrington,,signed unrestricted free agent
2006-07-28,Hornets,. Bernard Robinson,,re-signed restricted free agent
2006-07-31,Hornets,. Ryan Hollins,,signed second round pick
2006-08-15,Hornets,. Jake Voskuhl,,"re-signed unrestricted free agent to a 2-year, $4M contract"
2006-08-29,Hornets,. Greg Economou,,hired as executive VP and chief marketing officer of sports & entertainment
2006-08-30,Hornets,,. Jumaine Jones,lost free agent (to Suns)
2006-09-11,Hornets,. Walter Herrmann,,signed free agent to a 1-year contract with a 1-year team option
2006-10-01,Hornets,. Donta Smith,,signed free agent
2006-10-01,Hornets,. Joe Shipp,,signed free agent
2006-10-01,Hornets,. Will Conroy,,signed free agent
2006-10-02,Hornets,. Melvin Ely,,"re-signed restricted free agent to a 1-year, $3.3M qualifying offer"
2006-10-11,Hornets,,. Joe Shipp,waived
2006-10-20,Hornets,,. Donta Smith,waived
2006-10-20,Hornets,,. Will Conroy,waived
2006-10-30,Hornets,,. Kevin Burleson,waived
2006-11-26,Hornets,,. Alan Anderson,waived
2006-11-28,Hornets,. Derek Anderson,,signed free agent
2007-01-03,Hornets,. Jeff McInnis. cash,. Bernard Robinson,trade with Nets
2007-01-04,Hornets,. Jared Bartie,,hired as chief administrative officer and general counsel for Bobcats Sports & Entertainment
2007-02-13,Hornets,". Eric Williams. 2009 second round pick (less favorable of Hornets, Spurs picks) (#54-Robert Vaden). $1M cash",. Melvin Ely,trade with Spurs
2007-03-13,Hornets,,. Bernie Bickerstaff,resigned as head coach (effective at end of season)
2007-03-16,Hornets,,. Eric Williams,waived
2007-03-16,Hornets,. Alan Anderson,,signed free agent for the remainder of the season
2007-05-25,Hornets,. Bernie Bickerstaff,,hired as executive VP
2007-05-25,Hornets,. Sam Vincent,,hired as head coach
2007-05-31,Hornets,. Rod Higgins,,hired as general manager
2007-06-07,Hornets,. Jason Capel,,(re-?)signed as assistant coach
2007-06-07,Hornets,. Lee Rose,,hired as assistant coach
2007-06-07,Hornets,. Phil Ford,,hired as assistant coach
2007-06-12,Hornets,. Buzz Peterson,,hired as director of player personnel
2007-06-13,Hornets,. Paul Mokeski,,hired as assistant coach
2007-06-18,Hornets,. Dell Curry,,hired as assistant coach
2007-06-26,Hornets,,. Gerald Wallace,"player declined to exercise contract option, making him an unrestricted free agent"
2007-06-28,Hornets,. Brandan Wright,,2007 NBA draft first round pick (#8 overall)
2007-06-28,Hornets,. Jared Dudley,,2007 NBA draft first round pick (#22 overall)
2007-06-28,Hornets,. Jason Richardson. rights to Jermareo Davidson,. rights to Brandan Wright,trade with Warriors
2007-06-29,Hornets,,. Brevin Knight,waived
2007-06-30,Hornets,,. Jake Voskuhl,"player declined to exercise contract option for 2007-08, making him an unrestricted free agent"
2007-06-30,Hornets,. Alan Anderson,,"team tendered qualifying offer, making player a restricted free agent"
2007-06-30,Hornets,. Primoz Brezec,,player exercised contract option for 2007-08
2007-06-30,Hornets,. Ryan Hollins,,team exercised contract option for 2007-08
2007-06-30,Hornets,. Walter Herrmann,,team exercised contract option for 2007-08
2007-07-04,Hornets,. Matt Carroll,,"agreed to terms with free agent on a 6-year, $27M contract"
2007-07-05,Hornets,. Jared Dudley,,"signed first round pick to a 2-year, $2.4M contract with a 2-year, $3.5M team option"
2007-07-11,Hornets,. Gerald Wallace,,"re-signed unrestricted free agent to a 6-year, $57M contract (sixth year is player option)"
2007-07-17,Hornets,. Matt Carroll,,"re-signed unrestricted free agent to a 6-year, $27M contract"
2007-07-20,Hornets,,. Alan Anderson,"team withdrew qualifying offer, making player an unrestricted free agent"
2007-07-20,Hornets,. Adam Morrison,,team exercised contract option through 2008-09
2007-07-20,Hornets,. Raymond Felton,,team exercised contract option through 2008-09
2007-07-20,Hornets,. Sean May,,team exercised contract option through 2008-09
2007-07-26,Hornets,. Jermareo Davidson,,signed second round pick
2007-08-29,Hornets,. Jeff McInnis,,"re-signed unrestricted free agent to a 1-year, $1.2M contract"
2007-09-21,Hornets,. Darrel Johnson,,hired as scout
2007-09-21,Hornets,. Dennis Nutt,,hired as scout
